"PLAYER","TEAM","GP","MIN","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","PF","PTS","+/-"
"Devin Booker","Suns",5,39,11.4,24.2,47.1,2.2,6.8,32.4,5,5.8,86.2,1.2,2.4,3.6,3.8,2.6,1,0.4,3.8,30,5.4
"Chris Paul","Suns",5,36.9,8.8,16.2,54.3,2.2,4.2,52.4,1.2,1.6,75,0.6,2.2,2.8,8.8,3.6,0.6,0.2,2.8,21,-0.6
"Deandre Ayton","Suns",5,37.8,6,10.4,57.7,0,0,0,3.2,3.4,94.1,2.4,10.8,13.2,2,1.2,1.4,1.4,3.6,15.2,3.2
"Mikal Bridges","Suns",5,30.6,4.6,8.4,54.8,1.8,4,45,2,2,100,0.6,3.2,3.8,1,1.4,0.8,0.6,1.2,13,4.4
"Jae Crowder","Suns",5,36.5,3.4,8,42.5,2.8,6,46.7,1.4,1.8,77.8,0.4,7.2,7.6,2,1,1.2,1,3.4,11,1.2
"Cameron Johnson","Suns",5,23.9,3.2,6,53.3,1.8,3.8,47.4,1.4,1.4,100,0.8,2.4,3.2,1,0.8,0.4,0.4,2.4,9.6,-7
"Cameron Payne","Suns",5,16.6,3,7,42.9,0.6,2.4,25,0.2,0.4,50,0.4,2.2,2.6,2,0.8,0.8,0,1.2,6.8,-6
"Torrey Craig","Suns",5,12.6,1.2,3,40,0.6,2,30,0.4,0.8,50,0.4,1.2,1.6,0.2,0.4,0,0,1.4,3.4,-4.8
"Frank Kaminsky","Suns",3,6.2,1,1.7,60,0,0,0,0,0,0,0.3,1,1.3,0.7,0.3,0,0,0.3,2,-3.3
"Ty-Shon Alexander","Suns",1,1.3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1
"Abdel Nader","Suns",2,4.1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,-3.5
"Dario Saric","Suns",1,2.4,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4
"Giannis Antetokounmpo","Bucks",5,39.3,12,19.6,61.2,0.4,2.4,16.7,7.8,13.2,59.1,4,9,13,5.6,1.6,1.4,1.2,3.2,32.2,4
"Khris Middleton","Bucks",5,42.8,10,22.4,44.6,3,8.2,36.6,2.4,2.8,85.7,0.4,6.2,6.6,5.4,2.8,1,0,2.2,25.4,-0.8
"Jrue Holiday","Bucks",5,40.8,7,17.8,39.3,1.8,5.6,32.1,1.8,2,90,1.2,4.4,5.6,9,2,1.8,0.8,2,17.6,5
"Brook Lopez","Bucks",5,24,4.6,9.6,47.9,1,3.6,27.8,1.6,2,80,1.8,3,4.8,0.2,1,0.6,0.8,2.2,11.8,-3
"Pat Connaughton","Bucks",5,31.4,3.8,7.2,52.8,3,6,50,0.4,0.4,100,1.6,3.8,5.4,1.2,0.6,0.2,0,2.4,11,4.4
"Bobby Portis","Bucks",5,15.4,2.2,6,36.7,1,2.2,45.5,0.6,0.6,100,2,2.2,4.2,0.2,0.2,0.8,0.2,0.8,6,3.6
"P.J. Tucker","Bucks",5,30.3,2,3.8,52.6,0.8,1.4,57.1,0,0,0,2,1.4,3.4,1.2,0.4,1,0,3.8,4.8,-3.4
"Bryn Forbes","Bucks",3,7.3,1,3.3,30,1,3,33.3,0,0,0,0,0.3,0.3,0,0.3,0.3,0,0.7,3,-3.3
"Jordan Nwora","Bucks",1,1.3,1,1,100,1,1,100,0,0,0,0,1,1,0,0,0,0,0,3,1
"Jeff Teague","Bucks",5,10.8,0.4,2,20,0.2,0.6,33.3,0.8,1.2,66.7,0.4,0.6,1,0.8,0.6,0.6,0,0.4,1.8,-1.4
"Elijah Bryant","Bucks",1,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sam Merrill","Bucks",1,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Thanasis Antetokounmpo","Bucks",1,1.6,0,2,0,0,0,0,0,0,0,1,2,3,0,0,0,0,1,0,1
